,1,2,3,4,5,6,7,8,9,10,1m AVG,,1,2,3,4,5,6,7,8,9,10,100k AVG,,1,2,3,4,5,6,7,8,9,10,10k AVG,,1,2,3,4,5,6,7,8,9,10,1k AVG,,
Comb,16318,15059,15163,14742,15893,15801,15655,15245,14998,15252,15412.6,R,355,357,345,343,341,398,374,353,331,323,352,R,8,8,9,8,8,7,9,9,8,7,8.1,R,0,0,0,0,0,0,0,0,0,0,0,R,Comb
,28,27,25,27,27,27,26,26,25,25,26.3,A,1,1,1,2,1,1,1,2,2,1,1.3,A,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,0,0,0,0,0,A,
,15543,16364,15836,16304,15325,15534,15421,15887,16045,15872,15813.1,P,379,320,368,316,387,325,326,345,332,318,341.6,P,0,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,P,
,27,27,26,27,28,26,26,25,26,25,26.3,S,2,2,1,1,1,1,1,1,1,1,1.2,S,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,S,
,3727,3630,3544,3680,3702,3684,3623,3572,3648,3481,3629.1,D,85,125,72,72,72,71,71,71,83,76,79.8,D,2,2,2,2,2,2,2,2,2,2,2,D,0,0,0,0,0,0,0,0,0,0,0,D,
Tournament,378,399,370,380,378,383,379,402,386,390,384.5,R,30,30,27,27,28,27,28,28,27,29,28.1,R,2,3,3,2,3,2,3,3,3,2,2.6,R,0,0,0,0,0,0,0,0,0,0,0,R,Tournament
,145,134,134,135,146,139,137,134,135,133,137.2,A,12,12,12,12,12,12,12,14,11,13,12.2,A,1,1,1,1,1,1,1,1,1,1,1,A,0,0,0,0,0,0,0,0,0,0,0,A,
,338,334,322,338,348,336,327,334,329,326,333.2,P,26,26,25,25,25,27,27,29,26,27,26.3,P,1,1,1,1,1,1,1,1,1,1,1,P,0,0,0,0,0,0,0,0,0,0,0,P,
,142,135,130,141,138,140,140,138,134,134,137.2,S,11,11,11,11,11,11,13,16,11,11,11.7,S,1,1,1,1,1,1,1,1,1,1,1,S,0,0,0,0,0,0,0,0,0,0,0,S,
,203,201,193,197,200,203,198,197,202,214,200.8,D,16,17,16,16,16,16,18,19,17,16,16.7,D,1,2,1,1,1,1,2,1,2,1,1.3,D,0,0,0,0,0,0,0,0,0,0,0,D,
Intro,82,78,75,79,77,77,78,74,78,84,78.2,R,6,6,6,5,6,5,6,7,5,6,5.8,R,0,0,0,0,0,0,0,1,0,0,0.1,R,0,0,0,0,0,0,0,0,0,0,0,R,Intro
,164502,160908,161912,159511,161583,161577,161194,160921,161321,161018,161444.7,A,887,867,866,855,871,862,906,860,855,868,869.7,A,15,14,16,13,15,16,18,19,15,19,16,A,0,0,0,0,0,0,0,0,0,0,0,A,
,138,135,137,133,137,136,137,133,131,129,134.6,P,5,5,5,5,5,5,11,5,5,5,5.6,P,16,15,16,14,17,14,29,17,16,16,17,P,0,0,0,0,0,0,0,0,0,0,0,P,
,45,39,38,39,41,37,39,38,39,38,39.3,S,685,676,671,667,686,682,743,678,674,705,686.7,S,9,9,9,9,10,9,11,16,10,10,10.2,S,0,0,0,0,0,0,0,0,0,0,0,S,
,511295,504034,507551,502965,505295,505494,506025,503432,504761,503252,505410.4,D,4860,4868,4808,4831,4913,4853,5451,4896,4828,4982,4929,D,57,56,62,50,75,56,79,76,61,67,63.9,D,0,0,0,0,0,0,0,0,0,0,0,D,
Cocktail Shaker,1256791,1233913,1227714,1245365,1240034,1238143,1237259,1235257,1232402,1228803,1237568.1,R,12314,12102,11979,11953,12270,12233,13375,12413,12119,12530,12328.8,R,137,129,138,125,137,138,165,154,127,142,139.2,R,1,1,1,0,1,0,1,1,1,1,0.8,R,Cocktail Shaker
,734005,722545,721069,734593,725419,725142,723398,721435,724158,720706,725247,A,7211,7181,7144,7118,7586,7248,7567,7755,7238,7536,7358.4,A,122,102,102,86,122,90,127,116,91,142,110,A,0,0,1,0,0,0,0,0,0,0,0.1,A,
,873930,858780,856336,879265,863124,860889,859277,857194,857986,855335,862211.6,P,8469,8353,8329,8387,8520,8447,8958,8710,8449,9151,8577.3,P,134,96,115,88,88,94,101,100,92,115,102.3,P,1,0,0,0,0,0,0,0,0,0,0.1,P,
,731779,721267,721642,720231,724187,722850,723821,720635,721931,720646,722898.9,S,7386,7287,7147,7185,7287,7183,7452,7906,7178,7780,7379.1,S,119,87,128,87,105,102,121,110,98,145,110.2,S,0,0,0,0,0,0,0,0,0,0,0,S,
,742424,733966,728646,728949,737912,733689,734279,730837,732824,729206,733273.2,D,7368,7300,7268,7162,7313,7436,7395,7446,7303,7916,7390.7,D,128,118,124,87,98,125,118,95,100,102,109.5,D,0,0,0,0,0,0,1,0,0,0,0.1,D,
Library,1122,1122,1090,1123,1127,1115,1109,1101,1106,1055,1107,R,41,39,40,39,39,40,42,40,39,43,40.2,R,5,3,4,3,3,3,3,4,3,3,3.4,R,0,0,0,0,0,0,0,0,0,0,0,R,Library
,588895,580806,576954,578136,578725,580888,582640,579748,579862,578934,580558.8,A,4732,4697,4728,4689,4792,4758,4870,4809,4689,5045,4780.9,A,79,55,82,56,76,75,81,77,76,64,72.1,A,1,0,1,1,1,0,1,1,0,0,0.6,A,
,275655,274334,269633,269484,269244,271793,271384,271256,270870,269937,271359,P,1800,1794,1838,1782,1829,1809,1822,1795,1792,1844,1810.5,P,81,62,109,53,58,67,86,65,68,66,71.5,P,1,0,1,0,0,0,0,2,0,0,0.4,P,
,587636,581519,577071,577394,578060,579171,580187,578595,579453,578479,579756.5,S,4718,4752,4725,4693,4760,4717,4795,4786,4783,4922,4765.1,S,91,61,79,63,64,70,75,69,70,73,71.5,S,0,0,0,0,0,1,1,1,0,0,0.3,S,
,586904,585737,576468,577557,576263,579820,578449,577447,577874,577572,579409.1,D,4709,4798,4764,4691,4702,4733,4781,4708,5112,4782,4778,D,75,60,77,63,64,75,68,62,76,71,69.1,D,1,1,0,1,0,0,1,1,0,0,0.5,D,
Tim,248,218,188,259,198,194,193,193,195,205,209.1,R,28,24,24,25,33,29,31,34,36,34,29.8,R,1,1,1,1,1,1,1,1,1,2,1.1,R,0,0,0,0,0,0,0,0,0,0,0,R,Tim
,1,1,2,1,1,1,1,1,1,1,1.1,A,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,0,0,0,0,0,A,
,103,117,102,107,105,107,103,104,105,103,105.6,P,15,10,13,12,18,17,13,17,19,15,14.9,P,0,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,P,
,2,2,2,3,3,2,2,2,2,2,2.2,S,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,S,
,2,2,2,2,2,2,2,2,2,2,2,D,0,0,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,0,0,D,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,1m AVG,,1,2,3,4,5,6,7,8,9,10,100k AVG,,1,2,3,4,5,6,7,8,9,10,10k AVG,,1,2,3,4,5,6,7,8,9,10,1k AVG,,
Merge,931,798,1634,862,891,853,788,882,1123,901,966.3,R,76,87,78,81,84,79,78,79,76,84,80.2,R,15,10,11,8,11,8,9,11,9,12,10.4,R,1,0,0,0,0,0,0,0,0,1,0.2,R,Merge
,761,706,1524,736,696,790,786,733,803,774,830.9,A,74,77,77,74,81,71,73,78,78,84,76.7,A,7,7,7,16,12,9,15,8,8,9,9.8,A,0,0,0,0,0,0,0,0,0,1,0.1,A,
,767,726,749,725,757,777,776,762,888,768,769.5,P,88,106,80,79,101,78,103,85,91,86,89.7,P,18,9,11,9,9,10,11,9,10,10,10.6,P,0,0,1,0,1,0,1,0,0,0,0.3,P,
,752,689,710,691,684,678,691,725,781,728,712.9,S,86,85,80,85,77,99,75,71,78,97,83.3,S,8,9,15,10,9,8,15,10,10,8,10.2,S,0,0,1,0,0,0,0,0,0,0,0.1,S,
,748,676,727,687,690,688,689,717,755,719,709.6,D,75,98,76,85,86,77,71,70,75,71,78.4,D,9,9,12,7,11,8,8,9,8,8,8.9,D,0,0,1,1,0,0,1,0,0,0,0.3,D,
Heap,130,125,194,125,122,123,124,133,139,157,137.2,R,11,12,8,9,10,8,8,7,8,8,8.9,R,1,1,0,0,0,0,0,0,0,0,0.2,R,0,0,0,0,0,0,0,0,0,0,0,R,Heap
,103,93,96,96,96,96,96,101,117,98,99.2,A,8,10,7,7,7,7,8,6,7,6,7.3,A,0,0,0,0,0,0,0,1,0,0,0.1,A,0,0,0,0,0,0,0,0,0,0,0,A,
,130,112,113,136,111,114,114,115,122,121,118.8,P,9,8,7,8,8,8,9,7,8,7,7.9,P,0,1,0,0,0,0,0,0,0,0,0.1,P,0,0,0,0,0,0,0,0,0,0,0,P,
,9,7,8,9,8,7,8,7,9,8,8,S,5,4,4,4,6,4,4,4,4,4,4.3,S,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,S,
,103,96,98,112,98,105,97,98,106,109,102.2,D,7,7,7,6,7,7,6,6,7,6,6.6,D,0,0,0,0,0,0,0,1,0,0,0.1,D,0,0,0,0,0,0,0,0,0,0,0,D,
Bubble,1791515,1721594,1686433,1713727,1664893,1680786,1676555,1807151,1678384,1710255,1713129.3,R,14805,14681,14477,14440,14216,14280,13819,14353,14232,14097,14340,R,87,96,105,86,90,83,106,87,85,93,91.8,R,0,0,0,0,0,1,0,0,0,0,0.1,R,Bubble
,819546,725923,734612,762833,721270,726929,747049,732940,725450,769514,746606.6,A,6147,6095,6161,6116,6147,6031,5979,6109,6037,6298,6112,A,72,99,78,91,76,71,92,85,85,104,85.3,A,0,0,0,0,0,0,0,0,0,0,0,A,
,1228198,1190541,1205310,1283230,1182727,1197485,1194938,1212492,1191120,1219795,1210583.6,P,9831,9822,9777,9845,10335,9610,9621,10000,9770,10319,9893,P,75,100,77,88,75,81,110,87,91,87,87.1,P,0,0,0,0,0,0,0,0,0,0,0,P,
,728902,723667,729853,805607,721409,726503,723489,728102,723360,738182,734907.4,S,6049,6080,6056,6336,6248,6048,5990,6028,6173,6336,6134.4,S,101,86,88,76,93,83,98,76,94,88,88.3,S,0,1,0,0,0,0,0,0,0,0,0.1,S,
,734104,732328,739685,790733,730209,746507,734528,743494,733625,763032,744824.5,D,6100,6165,6082,7165,6489,6027,6013,6183,6101,6237,6256.2,D,81,93,95,104,91,79,87,88,93,76,88.7,D,0,0,0,0,0,1,0,0,0,0,0.1,D,
Insertion,302515,302693,305945,307344,301867,304442,302821,304817,301528,312224,304619.6,R,3039,3052,3169,3350,3038,3032,2996,3064,3119,3055,3091.4,R,45,42,40,46,44,47,57,47,37,36,44.1,R,0,0,0,0,0,0,0,0,0,0,0,R,Insertion
,1,1,1,1,1,1,1,1,1,1,1,A,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,0,0,0,0,0,A,
,227104,227435,228288,234555,226136,227775,226872,232335,227293,248618,230641.1,P,2289,2381,2277,2585,2317,2270,2230,2313,2259,2383,2330.4,P,0,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,P,
,1,1,1,2,1,1,1,1,1,2,1.2,S,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,S,
,606107,606928,610905,610242,604087,610766,607007,616468,604359,636957,611382.6,D,6187,6363,6086,6687,6165,6031,5935,6125,6017,6106,6170.2,D,81,87,81,77,87,87,93,88,78,79,83.8,D,1,0,0,0,0,0,0,0,0,0,0.1,D,
Selection,1415560,1412643,1450408,1446900,1412529,1427559,1420585,1478017,1414615,1430603,1430941.9,R,13382,14278,13369,13870,13389,13395,13223,13332,13665,13618,13552.1,R,176,194,168,173,172,161,169,176,158,170,171.7,R,1,1,1,1,1,1,1,1,1,1,1,R,Selection
,420590,422610,465254,425138,422324,424057,423830,427322,422654,454967,430874.6,A,3642,3724,3667,3664,3598,3645,3584,3592,3674,3612,3640.2,A,47,53,56,51,57,51,60,53,44,59,53.1,A,0,0,0,0,0,0,0,0,0,0,0,A,
,1118880,1174989,1194533,1132660,1142092,1128446,1126293,1190207,1119040,1319834,1164697.4,P,10514,10757,10477,10593,10511,10592,10476,11236,10551,10738,10644.5,P,48,56,48,52,52,50,58,52,59,43,51.8,P,0,0,0,0,0,0,0,0,0,0,0,P,
,421740,451845,548533,425450,444914,423714,423187,442827,420588,490498,449329.6,S,3713,3816,3671,3767,3770,3626,3752,3927,3729,3654,3742.5,S,43,48,45,75,50,46,51,66,45,46,51.5,S,0,0,0,0,0,0,0,0,0,0,0,S,
,800170,832210,803295,812332,823103,803870,802069,804619,800947,854246,813686.1,D,7990,8034,7864,7919,7978,7885,7964,7930,7865,7720,7914.9,D,113,109,102,105,107,95,99,127,108,99,106.4,D,0,0,1,1,0,1,0,0,0,0,0.3,D,
